pageid,title,date,primary_category,url,entity,entity_type
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Brazil,GPE
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",the Brazilian Agency,ORG
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Abin,PERSON
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Party,ORG
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",5 million dollars,MONEY
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",2002,DATE
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Colombian,NORP
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Revolutionary Armed Forces of Colombia,ORG
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Brazilian,NORP
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Veja,PERSON
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",this week,DATE
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",FARC,ORG
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Brazil,GPE
5796,"Brazilian President party received money from FARC, say documents",2005-03-15,Politics and conflicts,"https://en.wikinews.org/wiki/Brazilian_President_party_received_money_from_FARC,_say_documents",Abin,PERSON
